label,roi_name,source,"atlas_file or other information (*to see atlases, on Mac go to Users> bressks1>fsl>data>atlases)"
18,right_m1_trunk,"4mm spheres around coordinates from Roux et al. 2018, 2020","Primary somatosensory regions were generated from mean MNI coordinates for body-part specific responses, determined via electrostimulation by Roux et al. 2018. Primary motor regions were generated via the same procedures completed in Roux et al. 2020 (Note. Mean coordinates were taken directly from tables in most cases; however, for Table 3 in Roux et al. (2020), mean coordinates were computed from the listed coordinates for each distinct body part, rather than the broader body part groupings provided, e.g. computed for “thumb” rather than the listed mean coordinate for “all fingers”). 4mm spheres were generated around the averaged coordinate for each specific body part listed in each paper. The corresponding spherical regions were joined to form the following categorial groupings:
-Upper face: forehead, eyes, eyebrows, nose, cheek
-Lower face: lips, jaw
-Mouth: tongue, teeth, larynx, pharynx 
*Note, overlapping voxels between lower face and mouth were assigned to lower face."
19,left_m1_arm,"4mm spheres around coordinates from Roux et al. 2018, 2020","Primary somatosensory regions were generated from mean MNI coordinates for body-part specific responses, determined via electrostimulation by Roux et al. 2018. Primary motor regions were generated via the same procedures completed in Roux et al. 2020 (Note. Mean coordinates were taken directly from tables in most cases; however, for Table 3 in Roux et al. (2020), mean coordinates were computed from the listed coordinates for each distinct body part, rather than the broader body part groupings provided, e.g. computed for “thumb” rather than the listed mean coordinate for “all fingers”). 4mm spheres were generated around the averaged coordinate for each specific body part listed in each paper. The corresponding spherical regions were joined to form the following categorial groupings:
-Upper face: forehead, eyes, eyebrows, nose, cheek
-Lower face: lips, jaw
-Mouth: tongue, teeth, larynx, pharynx 
*Note, overlapping voxels between lower face and mouth were assigned to lower face."
20,right_M1_arm,"4mm spheres around coordinates from Roux et al. 2018, 2020","Primary somatosensory regions were generated from mean MNI coordinates for body-part specific responses, determined via electrostimulation by Roux et al. 2018. Primary motor regions were generated via the same procedures completed in Roux et al. 2020 (Note. Mean coordinates were taken directly from tables in most cases; however, for Table 3 in Roux et al. (2020), mean coordinates were computed from the listed coordinates for each distinct body part, rather than the broader body part groupings provided, e.g. computed for “thumb” rather than the listed mean coordinate for “all fingers”). 4mm spheres were generated around the averaged coordinate for each specific body part listed in each paper. The corresponding spherical regions were joined to form the following categorial groupings:
-Upper face: forehead, eyes, eyebrows, nose, cheek
-Lower face: lips, jaw
-Mouth: tongue, teeth, larynx, pharynx 
*Note, overlapping voxels between lower face and mouth were assigned to lower face."
21,left_S1_trunk,"4mm spheres around coordinates from Roux et al. 2018, 2020","Primary somatosensory regions were generated from mean MNI coordinates for body-part specific responses, determined via electrostimulation by Roux et al. 2018. Primary motor regions were generated via the same procedures completed in Roux et al. 2020 (Note. Mean coordinates were taken directly from tables in most cases; however, for Table 3 in Roux et al. (2020), mean coordinates were computed from the listed coordinates for each distinct body part, rather than the broader body part groupings provided, e.g. computed for “thumb” rather than the listed mean coordinate for “all fingers”). 4mm spheres were generated around the averaged coordinate for each specific body part listed in each paper. The corresponding spherical regions were joined to form the following categorial groupings:
-Upper face: forehead, eyes, eyebrows, nose, cheek
-Lower face: lips, jaw
-Mouth: tongue, teeth, larynx, pharynx 
*Note, overlapping voxels between lower face and mouth were assigned to lower face."
22,right_S1_trunk,"4mm spheres around coordinates from Roux et al. 2018, 2020","Primary somatosensory regions were generated from mean MNI coordinates for body-part specific responses, determined via electrostimulation by Roux et al. 2018. Primary motor regions were generated via the same procedures completed in Roux et al. 2020 (Note. Mean coordinates were taken directly from tables in most cases; however, for Table 3 in Roux et al. (2020), mean coordinates were computed from the listed coordinates for each distinct body part, rather than the broader body part groupings provided, e.g. computed for “thumb” rather than the listed mean coordinate for “all fingers”). 4mm spheres were generated around the averaged coordinate for each specific body part listed in each paper. The corresponding spherical regions were joined to form the following categorial groupings:
-Upper face: forehead, eyes, eyebrows, nose, cheek
-Lower face: lips, jaw
-Mouth: tongue, teeth, larynx, pharynx 
*Note, overlapping voxels between lower face and mouth were assigned to lower face."
23,left_S1_arm,"4mm spheres around coordinates from Roux et al. 2018, 2020","Primary somatosensory regions were generated from mean MNI coordinates for body-part specific responses, determined via electrostimulation by Roux et al. 2018. Primary motor regions were generated via the same procedures completed in Roux et al. 2020 (Note. Mean coordinates were taken directly from tables in most cases; however, for Table 3 in Roux et al. (2020), mean coordinates were computed from the listed coordinates for each distinct body part, rather than the broader body part groupings provided, e.g. computed for “thumb” rather than the listed mean coordinate for “all fingers”). 4mm spheres were generated around the averaged coordinate for each specific body part listed in each paper. The corresponding spherical regions were joined to form the following categorial groupings:
-Upper face: forehead, eyes, eyebrows, nose, cheek
-Lower face: lips, jaw
-Mouth: tongue, teeth, larynx, pharynx 
*Note, overlapping voxels between lower face and mouth were assigned to lower face."
24,right_S1_arm,"4mm spheres around coordinates from Roux et al. 2018, 2020","Primary somatosensory regions were generated from mean MNI coordinates for body-part specific responses, determined via electrostimulation by Roux et al. 2018. Primary motor regions were generated via the same procedures completed in Roux et al. 2020 (Note. Mean coordinates were taken directly from tables in most cases; however, for Table 3 in Roux et al. (2020), mean coordinates were computed from the listed coordinates for each distinct body part, rather than the broader body part groupings provided, e.g. computed for “thumb” rather than the listed mean coordinate for “all fingers”). 4mm spheres were generated around the averaged coordinate for each specific body part listed in each paper. The corresponding spherical regions were joined to form the following categorial groupings:
-Upper face: forehead, eyes, eyebrows, nose, cheek
-Lower face: lips, jaw
-Mouth: tongue, teeth, larynx, pharynx 
*Note, overlapping voxels between lower face and mouth were assigned to lower face."
25,left_M1_upper_face,"4mm spheres around coordinates from Roux et al. 2018, 2020","Primary somatosensory regions were generated from mean MNI coordinates for body-part specific responses, determined via electrostimulation by Roux et al. 2018. Primary motor regions were generated via the same procedures completed in Roux et al. 2020 (Note. Mean coordinates were taken directly from tables in most cases; however, for Table 3 in Roux et al. (2020), mean coordinates were computed from the listed coordinates for each distinct body part, rather than the broader body part groupings provided, e.g. computed for “thumb” rather than the listed mean coordinate for “all fingers”). 4mm spheres were generated around the averaged coordinate for each specific body part listed in each paper. The corresponding spherical regions were joined to form the following categorial groupings:
-Upper face: forehead, eyes, eyebrows, nose, cheek
-Lower face: lips, jaw
-Mouth: tongue, teeth, larynx, pharynx 
*Note, overlapping voxels between lower face and mouth were assigned to lower face."
26,right_M1_upper_face,"4mm spheres around coordinates from Roux et al. 2018, 2020","Primary somatosensory regions were generated from mean MNI coordinates for body-part specific responses, determined via electrostimulation by Roux et al. 2018. Primary motor regions were generated via the same procedures completed in Roux et al. 2020 (Note. Mean coordinates were taken directly from tables in most cases; however, for Table 3 in Roux et al. (2020), mean coordinates were computed from the listed coordinates for each distinct body part, rather than the broader body part groupings provided, e.g. computed for “thumb” rather than the listed mean coordinate for “all fingers”). 4mm spheres were generated around the averaged coordinate for each specific body part listed in each paper. The corresponding spherical regions were joined to form the following categorial groupings:
-Upper face: forehead, eyes, eyebrows, nose, cheek
-Lower face: lips, jaw
-Mouth: tongue, teeth, larynx, pharynx 
*Note, overlapping voxels between lower face and mouth were assigned to lower face."
27,left_M1_lower_face,"4mm spheres around coordinates from Roux et al. 2018, 2020","Primary somatosensory regions were generated from mean MNI coordinates for body-part specific responses, determined via electrostimulation by Roux et al. 2018. Primary motor regions were generated via the same procedures completed in Roux et al. 2020 (Note. Mean coordinates were taken directly from tables in most cases; however, for Table 3 in Roux et al. (2020), mean coordinates were computed from the listed coordinates for each distinct body part, rather than the broader body part groupings provided, e.g. computed for “thumb” rather than the listed mean coordinate for “all fingers”). 4mm spheres were generated around the averaged coordinate for each specific body part listed in each paper. The corresponding spherical regions were joined to form the following categorial groupings:
-Upper face: forehead, eyes, eyebrows, nose, cheek
-Lower face: lips, jaw
-Mouth: tongue, teeth, larynx, pharynx 
*Note, overlapping voxels between lower face and mouth were assigned to lower face."
28,left_M1_mouth,"4mm spheres around coordinates from Roux et al. 2018, 2020","Primary somatosensory regions were generated from mean MNI coordinates for body-part specific responses, determined via electrostimulation by Roux et al. 2018. Primary motor regions were generated via the same procedures completed in Roux et al. 2020 (Note. Mean coordinates were taken directly from tables in most cases; however, for Table 3 in Roux et al. (2020), mean coordinates were computed from the listed coordinates for each distinct body part, rather than the broader body part groupings provided, e.g. computed for “thumb” rather than the listed mean coordinate for “all fingers”). 4mm spheres were generated around the averaged coordinate for each specific body part listed in each paper. The corresponding spherical regions were joined to form the following categorial groupings:
-Upper face: forehead, eyes, eyebrows, nose, cheek
-Lower face: lips, jaw
-Mouth: tongue, teeth, larynx, pharynx 
*Note, overlapping voxels between lower face and mouth were assigned to lower face."
29,right_M1_lower_face,"4mm spheres around coordinates from Roux et al. 2018, 2020","Primary somatosensory regions were generated from mean MNI coordinates for body-part specific responses, determined via electrostimulation by Roux et al. 2018. Primary motor regions were generated via the same procedures completed in Roux et al. 2020 (Note. Mean coordinates were taken directly from tables in most cases; however, for Table 3 in Roux et al. (2020), mean coordinates were computed from the listed coordinates for each distinct body part, rather than the broader body part groupings provided, e.g. computed for “thumb” rather than the listed mean coordinate for “all fingers”). 4mm spheres were generated around the averaged coordinate for each specific body part listed in each paper. The corresponding spherical regions were joined to form the following categorial groupings:
-Upper face: forehead, eyes, eyebrows, nose, cheek
-Lower face: lips, jaw
-Mouth: tongue, teeth, larynx, pharynx 
*Note, overlapping voxels between lower face and mouth were assigned to lower face."
30,right_M1_mouth,"4mm spheres around coordinates from Roux et al. 2018, 2020","Primary somatosensory regions were generated from mean MNI coordinates for body-part specific responses, determined via electrostimulation by Roux et al. 2018. Primary motor regions were generated via the same procedures completed in Roux et al. 2020 (Note. Mean coordinates were taken directly from tables in most cases; however, for Table 3 in Roux et al. (2020), mean coordinates were computed from the listed coordinates for each distinct body part, rather than the broader body part groupings provided, e.g. computed for “thumb” rather than the listed mean coordinate for “all fingers”). 4mm spheres were generated around the averaged coordinate for each specific body part listed in each paper. The corresponding spherical regions were joined to form the following categorial groupings:
-Upper face: forehead, eyes, eyebrows, nose, cheek
-Lower face: lips, jaw
-Mouth: tongue, teeth, larynx, pharynx 
*Note, overlapping voxels between lower face and mouth were assigned to lower face."
31,left_S1_upper_face,"4mm spheres around coordinates from Roux et al. 2018, 2020","Primary somatosensory regions were generated from mean MNI coordinates for body-part specific responses, determined via electrostimulation by Roux et al. 2018. Primary motor regions were generated via the same procedures completed in Roux et al. 2020 (Note. Mean coordinates were taken directly from tables in most cases; however, for Table 3 in Roux et al. (2020), mean coordinates were computed from the listed coordinates for each distinct body part, rather than the broader body part groupings provided, e.g. computed for “thumb” rather than the listed mean coordinate for “all fingers”). 4mm spheres were generated around the averaged coordinate for each specific body part listed in each paper. The corresponding spherical regions were joined to form the following categorial groupings:
-Upper face: forehead, eyes, eyebrows, nose, cheek
-Lower face: lips, jaw
-Mouth: tongue, teeth, larynx, pharynx 
*Note, overlapping voxels between lower face and mouth were assigned to lower face."
32,right_S1_upper_face,"4mm spheres around coordinates from Roux et al. 2018, 2020","Primary somatosensory regions were generated from mean MNI coordinates for body-part specific responses, determined via electrostimulation by Roux et al. 2018. Primary motor regions were generated via the same procedures completed in Roux et al. 2020 (Note. Mean coordinates were taken directly from tables in most cases; however, for Table 3 in Roux et al. (2020), mean coordinates were computed from the listed coordinates for each distinct body part, rather than the broader body part groupings provided, e.g. computed for “thumb” rather than the listed mean coordinate for “all fingers”). 4mm spheres were generated around the averaged coordinate for each specific body part listed in each paper. The corresponding spherical regions were joined to form the following categorial groupings:
-Upper face: forehead, eyes, eyebrows, nose, cheek
-Lower face: lips, jaw
-Mouth: tongue, teeth, larynx, pharynx 
*Note, overlapping voxels between lower face and mouth were assigned to lower face."
33,left_S1_lower_face,"4mm spheres around coordinates from Roux et al. 2018, 2020","Primary somatosensory regions were generated from mean MNI coordinates for body-part specific responses, determined via electrostimulation by Roux et al. 2018. Primary motor regions were generated via the same procedures completed in Roux et al. 2020 (Note. Mean coordinates were taken directly from tables in most cases; however, for Table 3 in Roux et al. (2020), mean coordinates were computed from the listed coordinates for each distinct body part, rather than the broader body part groupings provided, e.g. computed for “thumb” rather than the listed mean coordinate for “all fingers”). 4mm spheres were generated around the averaged coordinate for each specific body part listed in each paper. The corresponding spherical regions were joined to form the following categorial groupings:
-Upper face: forehead, eyes, eyebrows, nose, cheek
-Lower face: lips, jaw
-Mouth: tongue, teeth, larynx, pharynx 
*Note, overlapping voxels between lower face and mouth were assigned to lower face."
34,right_S1_lower_face,"4mm spheres around coordinates from Roux et al. 2018, 2020","Primary somatosensory regions were generated from mean MNI coordinates for body-part specific responses, determined via electrostimulation by Roux et al. 2018. Primary motor regions were generated via the same procedures completed in Roux et al. 2020 (Note. Mean coordinates were taken directly from tables in most cases; however, for Table 3 in Roux et al. (2020), mean coordinates were computed from the listed coordinates for each distinct body part, rather than the broader body part groupings provided, e.g. computed for “thumb” rather than the listed mean coordinate for “all fingers”). 4mm spheres were generated around the averaged coordinate for each specific body part listed in each paper. The corresponding spherical regions were joined to form the following categorial groupings:
-Upper face: forehead, eyes, eyebrows, nose, cheek
-Lower face: lips, jaw
-Mouth: tongue, teeth, larynx, pharynx 
*Note, overlapping voxels between lower face and mouth were assigned to lower face."
35,left_S1_mouth,"4mm spheres around coordinates from Roux et al. 2018, 2020","Primary somatosensory regions were generated from mean MNI coordinates for body-part specific responses, determined via electrostimulation by Roux et al. 2018. Primary motor regions were generated via the same procedures completed in Roux et al. 2020 (Note. Mean coordinates were taken directly from tables in most cases; however, for Table 3 in Roux et al. (2020), mean coordinates were computed from the listed coordinates for each distinct body part, rather than the broader body part groupings provided, e.g. computed for “thumb” rather than the listed mean coordinate for “all fingers”). 4mm spheres were generated around the averaged coordinate for each specific body part listed in each paper. The corresponding spherical regions were joined to form the following categorial groupings:
-Upper face: forehead, eyes, eyebrows, nose, cheek
-Lower face: lips, jaw
-Mouth: tongue, teeth, larynx, pharynx 
*Note, overlapping voxels between lower face and mouth were assigned to lower face."
36,right_s1_mouth,"4mm spheres around coordinates from Roux et al. 2018, 2020","Primary somatosensory regions were generated from mean MNI coordinates for body-part specific responses, determined via electrostimulation by Roux et al. 2018. Primary motor regions were generated via the same procedures completed in Roux et al. 2020 (Note. Mean coordinates were taken directly from tables in most cases; however, for Table 3 in Roux et al. (2020), mean coordinates were computed from the listed coordinates for each distinct body part, rather than the broader body part groupings provided, e.g. computed for “thumb” rather than the listed mean coordinate for “all fingers”). 4mm spheres were generated around the averaged coordinate for each specific body part listed in each paper. The corresponding spherical regions were joined to form the following categorial groupings:
-Upper face: forehead, eyes, eyebrows, nose, cheek
-Lower face: lips, jaw
-Mouth: tongue, teeth, larynx, pharynx 
*Note, overlapping voxels between lower face and mouth were assigned to lower face."
37,left_SMA,Harvard-Oxford cortical atlas (FSL) thresholded @ 25% - juxtapositional lobule cortex,Users/bressk1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr25-2mm.nii.gz
38,right_SMA,Harvard-Oxford cortical atlas (FSL) thresholded @ 25% - juxtapositional lobule cortex,Users/bressk1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr25-2mm.nii.gz
39,left_dorsal_premotor_cortex,Harvard-Oxford cortical atlas (FSL) thresholded @ 25% - portion of superior frontal gyrus manually selected base on neuroanatomic landmarks,Users/bressk1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr25-2mm.nii.gz
40,right_dorsal_premotor_cortex,Harvard-Oxford cortical atlas (FSL) thresholded @ 25% - portion of superior frontal gyrus manually selected base on neuroanatomic landmarks,Users/bressk1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr25-2mm.nii.gz
41,left_ventral_premotor_cortex,"Harvard-Oxford cortical atlas (FSL) thresholded @ 25% - area ventral to dorsal premotor cortex, manually selected base on neuroanatomic landmarks",Users/bressk1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr25-2mm.nii.gz
42,right_ventral_premotor_cortex,"Harvard-Oxford cortical atlas (FSL) thresholded @ 25% - area ventral to dorsal premotor cortex, manually selected base on neuroanatomic landmarks",Users/bressk1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr25-2mm.nii.gz
43,left_OP1 ,Jeulich (FSL) thresholded @ 50% - first looked the Jeulich atlas 'GM Secondary Somatosensory Cortex / Parietal Operculum OP1',Users/bressks1/fsl/data/atlases/Juelich/Juelich-maxprob-thr50-2mm.nii.gz
44,right_OP1,Jeulich (FSL) thresholded @ 50% - first looked the Jeulich atlas 'GM Secondary Somatosensory Cortex / Parietal Operculum OP1',Users/bressks1/fsl/data/atlases/Juelich/Juelich-maxprob-thr50-2mm.nii.gz
45,left_OP4,Jeulich (FSL) thresholded @ 50% - first looked the Jeulich atlas 'GM Secondary Somatosensory Cortex / Parietal Operculum OP4' and then manually edited in cross reference to HO Cortical Atlas area 'Central Opercular Cortex' - selected voxels overlapping across the two atlases,Users/bressks1/fsl/data/atlases/Juelich/Juelich-maxprob-thr50-2mm.nii.gz
46,right_OP4,Jeulich (FSL) thresholded @ 50% - first looked the Jeulich atlas 'GM Secondary Somatosensory Cortex / Parietal Operculum OP4' and then manually edited in cross reference to HO Cortical Atlas area 'Central Opercular Cortex' - selected voxels overlapping across the two atlases,Users/bressks1/fsl/data/atlases/Juelich/Juelich-maxprob-thr50-2mm.nii.gz
47,left_posterior_cingulate,"Harvard-Oxford cortical atlas (FSL) thresholded @ 50% - 'cingulate gyrus, posterior division', atlas intensity value = 30 - subtracted left and right whole brain masks to split into left and right posterior cingulate ",Users/bressk1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr50-2mm.nii.gz
48,right_posterior_cingulate,"Harvard-Oxford cortical atlas (FSL) thresholded @ 50% - 'cingulate gyrus, posterior division', atlas intensity value = 30 - subtracted left and right whole brain masks to split into left and right posterior cingulate ",Users/bressk1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr50-2mm.nii.gz
49,left_mid_cingulate,"Harvard-Oxford cortical atlas (FSL) thresholded @ 50% - 'cingulate gyrus, anterior division', atlas intensity value = 29 - manually selected voxels from this mask between the anterior boundary of the posterior cingulate mask and the anterior boundary of the SMA",Users/bressk1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr50-2mm.nii.gz
50,right_mid_cingulate,"Harvard-Oxford cortical atlas (FSL) thresholded @ 50% - 'cingulate gyrus, anterior division', atlas intensity value = 29 - manually selected voxels from this mask between the anterior boundary of the posterior cingulate mask and the anterior boundary of the SMA",Users/bressk1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr50-2mm.nii.gz
51,left_dACC,"Harvard-Oxford cortical atlas (FSL) thresholded @ 50% - 'cingulate gyrus, anterior division', atlas intensity value = 29 - manually selected voxels from this mask between the anterior boundary of the SMA and curvature of the angle of the ventricle ",Users/bressk1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr50-2mm.nii.gz
52,right_dACC,"Harvard-Oxford cortical atlas (FSL) thresholded @ 50% - 'cingulate gyrus, anterior division', atlas intensity value = 29 - manually selected voxels from this mask between the anterior boundary of the SMA and curvature of the angle of the ventricle ",Users/bressk1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr50-2mm.nii.gz
53,left_sgACC_pgACC,"Harvard-Oxford cortical atlas (FSL) thresholded @ 50% - 'cingulate gyrus, anterior division', atlas intensity value = 29 - manually selected the anterior-most voxels from this mask that were not considered part of the dACC mask",Users/bressk1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr50-2mm.nii.gz
54,right_sgACC_pgACC,"Harvard-Oxford cortical atlas (FSL) thresholded @ 50% - 'cingulate gyrus, anterior division', atlas intensity value = 29 - manually selected the anterior-most voxels from this mask that were not considered part of the dACC mask",Users/bressk1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr50-2mm.nii.gz
55,left_paracingulate,"Harvard-Oxford cortical atlas (FSL) thresholded @ 50% - 'paraginculate gyrus', atlas intensity value = 28 - subtracted left and right whole brain masks to split into left and right paracingulate",Users/bressk1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr50-2mm.nii.gz
56,right_paracingulate,"Harvard-Oxford cortical atlas (FSL) thresholded @ 50% - 'paraginculate gyrus', atlas intensity value = 28 - subtracted left and right whole brain masks to split into left and right paracingulate",Users/bressk1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr50-2mm.nii.gz
57,left_caudate,Harvard-Oxford subcortical atlas (FSL) tresholded @ 50%,Users/bressk1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr50-2mm.nii.gz
58,right_caudate,Harvard-Oxford subcortical atlas (FSL) tresholded @ 50%,Users/bressk1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr50-2mm.nii.gz
59,left_putamen,Harvard-Oxford subcortical atlas (FSL) tresholded @ 50%,Users/bressk1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr50-2mm.nii.gz
60,right_putamen,Harvard-Oxford subcortical atlas (FSL) tresholded @ 50%,Users/bressk1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr50-2mm.nii.gz
61,left_pallidum,Harvard-Oxford subcortical atlas (FSL) tresholded @ 50%,Users/bressk1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr50-2mm.nii.gz
62,right_pallidum,Harvard-Oxford subcortical atlas (FSL) tresholded @ 50%,Users/bressk1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr50-2mm.nii.gz
63,left_STN,ATAG Atlas/MNI05 - STN_L_prob_mni_non_linear_young.nii.gz' - binarized and resampled,"Source of atlas: https://www.nitrc.org/projects/atag - see 10.1016/j.neuroimage.2014.03.032
To find on Mac:  Users/bressks1/MNI05"
64,right_STN,ATAG Atlas/MNI05 - STN_R_prob_mni_non_linear_young.nii.gz' - binarized and resampled,"Source of atlas: https://www.nitrc.org/projects/atag - see 10.1016/j.neuroimage.2014.03.032
To find on Mac:  Users/bressks1/MNI05"
65,left_SN,ATAG Atlas/MNI05 - SN_L_prob_mni_non_linear_young.nii.gz' - binarized and resampled,"Source of atlas: https://www.nitrc.org/projects/atag - see 10.1016/j.neuroimage.2014.03.032
To find on Mac:  Users/bressks1/MNI05"
66,right_SN,ATAG Atlas/MNI05 - SN_R_prob_mni_non_linear_young.nii.gz' - binarized and resampled,"Source of atlas: https://www.nitrc.org/projects/atag - see 10.1016/j.neuroimage.2014.03.032
To find on Mac:  Users/bressks1/MNI05"
67,left_RN,ATAG Atlas/MNI05 - RN_L_prob_mni_non_linear_young.nii.gz' - binarized and resampled,"Source of atlas: https://www.nitrc.org/projects/atag - see 10.1016/j.neuroimage.2014.03.032
To find on Mac:  Users/bressks1/MNI05"
